genre,genre_count
neo soul,3
corecore,1
dream pop,2
pov: indie,3
slowcore,2
conscious hip hop,1
hip hop,3
rap,3
album rock,2
classic rock,3
mellow gold,3
rock,3
singer-songwriter,3
soft rock,3
yacht rock,1
art pop,2
brooklyn indie,2
chamber pop,2
countrygaze,3
indie pop,3
indie rock,2
small room,3
blues rock,1
folk rock,2
melancholia,2
shoegaze,1
experimental hip hop,2
psychedelic hip hop,1
alternative hip hop,1
drumless hip hop,1
underground hip hop,1
alternative r&b,1
uk contemporary r&b,1
afrofuturism,1
indie soul,1
neo r&b,1
brill building pop,1
folk,1
gangster rap,1
pop rap,1
southern hip hop,1
trap,1
virginia hip hop,1
alternative rock,1
art rock,1
oxford indie,1
permanent wave,1
contemporary r&b,1
new jack swing,1
afro house,1
